Step,Accuracy_Train,TRP_Train,FPR_Train,Cost_train,Accuracy_Val,TRP_Val,FPR_Val,Cost_Val
0,50.00000186264515,100.0,0.0,1.0881439744578585,50.0,100.0,0.0,1.1065032239346837
32,50.00000186264515,100.0,0.0,0.9666056012260252,50.0,100.0,0.0,1.0014956872219747
64,50.00000186264515,99.45054945054946,0.5494505494505495,0.945405424172516,42.857142857142854,85.71428571428571,0.0,1.0212423565856366
96,56.31868341671569,98.90109890109889,13.736263736263734,0.9282460340882187,42.857142857142854,85.71428571428571,0.0,1.0196147039954704
128,67.58242010005883,98.9010989010989,36.26373626373626,0.9097048915555551,46.42857142857143,85.71428571428571,7.142857142857143,1.0079379699797113
160,80.4945084931595,99.45054945054946,61.53846153846153,0.8907438170930095,50.0,85.71428571428571,14.285714285714286,1.0090333807174678
192,85.71428890739169,99.45054945054946,71.97802197802199,0.8718586532274488,50.0,78.57142857142857,21.428571428571427,1.0108581268144543
224,87.36264061714921,98.9010989010989,75.82417582417584,0.8532775698077774,53.57142857142857,78.57142857142857,28.571428571428573,1.0067119946551661
256,88.18681647202799,97.80219780219781,78.57142857142857,0.834966302554523,53.57142857142857,78.57142857142857,28.571428571428573,1.007452599447569
288,88.73626704194716,97.25274725274726,80.21978021978022,0.8174033100918975,57.142857142857146,71.42857142857143,42.857142857142854,0.9779638692820152
320,89.56044289682593,97.25274725274726,81.86813186813187,0.7998896203131363,60.714285714285715,71.42857142857143,50.0,0.9796172508233029
352,90.38461875170469,97.80219780219781,82.96703296703296,0.7828980053555642,57.142857142857146,71.42857142857143,42.857142857142854,0.9978110252191862
384,91.48351989154305,97.80219780219781,85.16483516483515,0.7663747789680074,57.142857142857146,71.42857142857143,42.857142857142854,0.9997084227495041
416,92.30769574642181,97.25274725274726,87.36263736263736,0.7506304530237441,53.57142857142857,64.28571428571429,42.857142857142854,0.9985832522178227
448,92.5824210313814,97.25274725274724,87.9120879120879,0.7352956188089965,53.57142857142857,64.28571428571429,42.857142857142854,0.9968082632009411
480,93.13187160130057,97.25274725274726,89.010989010989,0.7204149906047868,53.57142857142857,64.28571428571429,42.857142857142854,0.9965770713724125
512,93.40659688626017,97.25274725274724,89.56043956043956,0.7060286237591064,57.142857142857146,64.28571428571429,50.0,0.9957834990015566
544,93.40659688626017,97.25274725274724,89.56043956043956,0.6919458740309858,57.142857142857146,64.28571428571429,50.0,0.9984296529378182
576,93.68132217121976,97.25274725274726,90.1098901098901,0.6785377600422074,57.142857142857146,64.28571428571429,50.0,1.0009971071441892
608,93.68132217121976,96.70329670329672,90.65934065934066,0.6655857760481575,64.28571428571429,57.142857142857146,71.42857142857143,0.966618726160825
640,93.95604745617935,97.25274725274726,90.65934065934064,0.6530428635256289,57.142857142857146,57.142857142857146,57.142857142857146,0.9989855242657754
